tau,term,estimate
0.2,(Intercept),1.25062642887529
0.2,ns1,-0.6277864739108905
0.2,ns2,-0.8313818668847777
0.2,ns3,-0.7749110300097294
0.2,ns4,-1.0351418860138712
0.2,ns5,-1.1359527573057586
0.2,ns6,-0.06394872289387434
0.2,ns7,-0.24118516342205856
0.2,ns8,0.1409009856739406
0.2,ns9,-0.6268015531820649
0.2,ns10,-0.049202943399700806
0.5,(Intercept),1.4162906058770717
0.5,ns1,-0.6043246899277757
0.5,ns2,-0.8010143417465695
0.5,ns3,-0.7134694796020401
0.5,ns4,-1.1065750179963665
0.5,ns5,-1.1252717656626545
0.5,ns6,-0.015975879101292428
0.5,ns7,-0.3007240670625744
0.5,ns8,0.05661561767878191
0.5,ns9,-0.561270479324596
0.5,ns10,-0.0767401091817414
0.8,(Intercept),1.5404044415737255
0.8,ns1,-0.5167321925073501
0.8,ns2,-0.6772977722307595
0.8,ns3,-0.7245709454292448
0.8,ns4,-1.14235702187892
0.8,ns5,-1.109735085345755
0.8,ns6,-0.03845627438256796
0.8,ns7,-0.39494217309568586
0.8,ns8,-0.020398638864442667
0.8,ns9,-0.5001521971907532
0.8,ns10,-0.1879661669150068
