tau,term,estimate
0.2,(Intercept),1.2687421052796664
0.2,ns1,-0.5914808726357182
0.2,ns2,-0.8953677451149404
0.2,ns3,-0.7024629907305826
0.2,ns4,-1.1075442000465343
0.2,ns5,-1.108459974470562
0.2,ns6,-0.08648872104135154
0.2,ns7,-0.24923026526052827
0.2,ns8,0.13354274394776597
0.2,ns9,-0.6977750443874422
0.2,ns10,-0.022295986252996353
0.5,(Intercept),1.4369991908847553
0.5,ns1,-0.5994553161727689
0.5,ns2,-0.8504682111463095
0.5,ns3,-0.687860632102953
0.5,ns4,-1.2021212267126737
0.5,ns5,-1.0817777981094059
0.5,ns6,-0.029361943934399393
0.5,ns7,-0.3132703853602659
0.5,ns8,0.032531806608144836
0.5,ns9,-0.5839561450377314
0.5,ns10,-0.06853242112350383
0.8,(Intercept),1.5613966112282038
0.8,ns1,-0.5574639159681968
0.8,ns2,-0.7303904334685504
0.8,ns3,-0.6979796271020606
0.8,ns4,-1.229558293398335
0.8,ns5,-1.0467400774116316
0.8,ns6,-0.06424077332742305
0.8,ns7,-0.4129766226874937
0.8,ns8,-0.03658239484697531
0.8,ns9,-0.5267985025843942
0.8,ns10,-0.20239417270675764
