tau,term,estimate
0.2,(Intercept),3.6526443286741457
0.2,ns1,-1.718177184717937
0.2,ns2,-2.192791663617471
0.2,ns3,-1.9167880600334066
0.2,ns4,-2.4680850043595015
0.2,ns5,-2.496370255732044
0.2,ns6,-0.4817139024186524
0.2,ns7,-0.9928795363224759
0.2,ns8,0.10927484864597126
0.2,ns9,-2.2561860743744937
0.2,ns10,-0.20775845831241474
0.5,(Intercept),4.087310400768177
0.5,ns1,-1.7622727952176303
0.5,ns2,-2.237251584849633
0.5,ns3,-2.046749598484692
0.5,ns4,-2.740423213996894
0.5,ns5,-2.67556278853717
0.5,ns6,-0.1406134492154233
0.5,ns7,-0.9526247312580726
0.5,ns8,0.03975976893199333
0.5,ns9,-1.925769135627589
0.5,ns10,-0.2843748036563133
0.8,(Intercept),4.52735924138587
0.8,ns1,-1.6265651684169329
0.8,ns2,-2.1248517128920046
0.8,ns3,-2.120855712573684
0.8,ns4,-2.96474923526228
0.8,ns5,-2.6605992540029617
0.8,ns6,-0.21247096046270503
0.8,ns7,-1.0435969475425988
0.8,ns8,-0.10537399897967421
0.8,ns9,-1.7319106775827724
0.8,ns10,-0.4256051488041297
