source,GA_bin,GA_mid,k,n_rows,n_participants
Carlson,"[6,11)",8,1,4,4
Carlson,"[11,16)",13,1,15,14
Carlson,"[16,21)",18,1,24,24
QUS,"[16,21)",18,1,333,333
Carlson,"[21,26)",23,1,29,29
QUS,"[21,26)",23,1,415,353
QUS,"[26,31)",28,1,78,78
Carlson,"[31,36)",33,1,29,29
QUS,"[31,36)",33,1,10,10
Carlson,"[36,41)",38,1,25,25
QUS,"[41,46)",43,1,17,17
QUS,"[46,51)",48,1,18,18
QUS,"[51,56)",53,1,18,18
QUS,"[56,61)",58,1,2,2
QUS,"[61,66)",63,1,7,7
QUS,"[66,71)",68,1,9,9
QUS,"[71,76)",73,1,2,2
QUS,"[76,81)",78,1,10,10
QUS,"[81,86)",83,1,4,4
QUS,"[86,91)",88,1,2,2
QUS,"[91,96]",93,1,11,11
