tau,term,estimate
0.2,(Intercept),3.5878478113826504
0.2,ns1,-1.781365821240685
0.2,ns2,-2.1505824991440434
0.2,ns3,-1.9194512522830502
0.2,ns4,-2.507565381360075
0.2,ns5,-2.5115301665197154
0.2,ns6,-0.4540157648011987
0.2,ns7,-1.0806222086969879
0.2,ns8,0.10361691487030943
0.2,ns9,-2.2458573129868498
0.2,ns10,-0.20882204323519715
0.5,(Intercept),4.115146456997761
0.5,ns1,-1.779123538163932
0.5,ns2,-2.2280015361408405
0.5,ns3,-1.9984991445688776
0.5,ns4,-2.7391436398268243
0.5,ns5,-2.6899341736619826
0.5,ns6,-0.17177963524709555
0.5,ns7,-0.9470972311045049
0.5,ns8,0.03038885291984278
0.5,ns9,-1.9339424634968667
0.5,ns10,-0.2506686893986892
0.8,(Intercept),4.556435063308529
0.8,ns1,-1.701372922265342
0.8,ns2,-2.049382708501935
0.8,ns3,-2.065949882931939
0.8,ns4,-2.8846445708507944
0.8,ns5,-2.5890672101742753
0.8,ns6,-0.29039285935195375
0.8,ns7,-1.1743766523149861
0.8,ns8,-0.23862077167920942
0.8,ns9,-1.7116407365865778
0.8,ns10,-0.6673726427107428
