tau,term,estimate
0.2,(Intercept),1.2719549979599905
0.2,ns1,-0.6059746348217752
0.2,ns2,-0.8864605093945074
0.2,ns3,-0.6644023515909036
0.2,ns4,-1.1078013732559229
0.2,ns5,-1.11154830033984
0.2,ns6,-0.10010861552916561
0.2,ns7,-0.25424976121254095
0.2,ns8,0.1217262311883499
0.2,ns9,-0.6750067740868134
0.2,ns10,-0.038984642294183317
0.5,(Intercept),1.4371382609661734
0.5,ns1,-0.5985241892996995
0.5,ns2,-0.8476368150060044
0.5,ns3,-0.695060914170983
0.5,ns4,-1.1927698348225253
0.5,ns5,-1.086293005799222
0.5,ns6,-0.0342680035056274
0.5,ns7,-0.31176926305207625
0.5,ns8,0.03675447703941919
0.5,ns9,-0.5738465558102809
0.5,ns10,-0.0668486981444647
0.8,(Intercept),1.5592726684985991
0.8,ns1,-0.5729924667035954
0.8,ns2,-0.7545888161597143
0.8,ns3,-0.7139743353877672
0.8,ns4,-1.2057090802317674
0.8,ns5,-1.0432356204183661
0.8,ns6,-0.060551116936106986
0.8,ns7,-0.41459692946410437
0.8,ns8,-0.03446184748787364
0.8,ns9,-0.5174425186311187
0.8,ns10,-0.19750517322950703
