tau,term,estimate
0.2,(Intercept),1.2733141177502265
0.2,ns1,-0.6280114590298579
0.2,ns2,-0.8585617779644173
0.2,ns3,-0.690803319985035
0.2,ns4,-1.1011860840268812
0.2,ns5,-1.1180703351484038
0.2,ns6,-0.08832612823083569
0.2,ns7,-0.2557862003186807
0.2,ns8,0.12872221812630102
0.2,ns9,-0.6829084543982639
0.2,ns10,-0.03815934496287232
0.5,(Intercept),1.4413610798979175
0.5,ns1,-0.5896219530066749
0.5,ns2,-0.8276858003860179
0.5,ns3,-0.6858696457907283
0.5,ns4,-1.1809140274163925
0.5,ns5,-1.0982018305536987
0.5,ns6,-0.03476000631344474
0.5,ns7,-0.3131552087691281
0.5,ns8,0.04770383654294684
0.5,ns9,-0.5969030297881213
0.5,ns10,-0.06802098751515875
0.8,(Intercept),1.55325392719352
0.8,ns1,-0.5119470373787101
0.8,ns2,-0.7053770806183934
0.8,ns3,-0.6892550056271769
0.8,ns4,-1.2275396191649341
0.8,ns5,-1.084958134817578
0.8,ns6,-0.0595080926275278
0.8,ns7,-0.38790668819572965
0.8,ns8,-0.0257227590656143
0.8,ns9,-0.5431543029033908
0.8,ns10,-0.18303750563479798
