tau,term,estimate
0.2,(Intercept),3.6512412795197977
0.2,ns1,-1.7408679722037517
0.2,ns2,-2.1736170024794825
0.2,ns3,-1.923293617026201
0.2,ns4,-2.4731663029075732
0.2,ns5,-2.492016751042564
0.2,ns6,-0.48674829059640584
0.2,ns7,-0.9909175982830261
0.2,ns8,0.10972060060730647
0.2,ns9,-2.2294350280223494
0.2,ns10,-0.2175346984071861
0.5,(Intercept),4.090907020481141
0.5,ns1,-1.7573947282746403
0.5,ns2,-2.2371942905090423
0.5,ns3,-1.992534770567521
0.5,ns4,-2.7721282950914317
0.5,ns5,-2.6485506349199244
0.5,ns6,-0.1506363708232958
0.5,ns7,-0.9514080264944565
0.5,ns8,0.023278732152893666
0.5,ns9,-1.9165700609448626
0.5,ns10,-0.29697028050679697
0.8,(Intercept),4.519550635224504
0.8,ns1,-1.6212580782907047
0.8,ns2,-2.1365521378216332
0.8,ns3,-2.108661115541027
0.8,ns4,-2.992601413181252
0.8,ns5,-2.665087124562205
0.8,ns6,-0.19316536777422427
0.8,ns7,-1.0105372166557764
0.8,ns8,-0.12595899882585224
0.8,ns9,-1.6782015470972862
0.8,ns10,-0.408422402108224
