tau,term,estimate
0.2,(Intercept),3.6556192074701364
0.2,ns1,-1.7122265956591807
0.2,ns2,-2.2125769818664445
0.2,ns3,-1.888194858086777
0.2,ns4,-2.519413779684269
0.2,ns5,-2.468968186534494
0.2,ns6,-0.46416416620836526
0.2,ns7,-0.9918550227047764
0.2,ns8,0.1023815759682333
0.2,ns9,-2.254202979686703
0.2,ns10,-0.189332010815437
0.5,(Intercept),4.088223201389335
0.5,ns1,-1.7843206964404978
0.5,ns2,-2.239578399180556
0.5,ns3,-1.985193574083158
0.5,ns4,-2.790945620947252
0.5,ns5,-2.631645525381219
0.5,ns6,-0.15061436256232433
0.5,ns7,-0.9381665985683094
0.5,ns8,0.023677962090596787
0.5,ns9,-1.9173972253113143
0.5,ns10,-0.289564818125991
0.8,(Intercept),4.52787385988378
0.8,ns1,-1.7238430517237793
0.8,ns2,-2.172423287337792
0.8,ns3,-2.0633300047175536
0.8,ns4,-2.902417793012506
0.8,ns5,-2.5910825836436526
0.8,ns6,-0.26076719808818216
0.8,ns7,-1.114516427928958
0.8,ns8,-0.20227734322875981
0.8,ns9,-1.7113520684233203
0.8,ns10,-0.6161533206468218
