tau,term,estimate
0.2,(Intercept),1.269654467449951
0.2,ns1,-0.6079171500969076
0.2,ns2,-0.884139178922196
0.2,ns3,-0.6559856918471223
0.2,ns4,-1.0928238881869141
0.2,ns5,-1.1153337552742109
0.2,ns6,-0.10447886490513372
0.2,ns7,-0.2481642185165115
0.2,ns8,0.1263170149160958
0.2,ns9,-0.6759077265879676
0.2,ns10,-0.03669896997056602
0.5,(Intercept),1.435898252278555
0.5,ns1,-0.6004376089076773
0.5,ns2,-0.838062966259556
0.5,ns3,-0.6906569840550807
0.5,ns4,-1.1912072973191026
0.5,ns5,-1.0900962422649194
0.5,ns6,-0.029073396378566093
0.5,ns7,-0.3136574799022291
0.5,ns8,0.031020551323349972
0.5,ns9,-0.5644097358578357
0.5,ns10,-0.06941989628605381
0.8,(Intercept),1.548407732013912
0.8,ns1,-0.5538515164256829
0.8,ns2,-0.7513943503586331
0.8,ns3,-0.7001417889062793
0.8,ns4,-1.214765795745304
0.8,ns5,-1.0653994745744753
0.8,ns6,-0.0502412088528272
0.8,ns7,-0.39809055937671656
0.8,ns8,-0.020881421774417607
0.8,ns9,-0.5198337521507846
0.8,ns10,-0.1804511514956342
