tau,term,estimate
0.2,(Intercept),3.6579985504713775
0.2,ns1,-1.7299191154656202
0.2,ns2,-2.1965384635964673
0.2,ns3,-1.8936650223746623
0.2,ns4,-2.4909064109499877
0.2,ns5,-2.489652837798488
0.2,ns6,-0.4929114116700779
0.2,ns7,-1.0037787727750673
0.2,ns8,0.10624648264472501
0.2,ns9,-2.2536640033588893
0.2,ns10,-0.21685177034351896
0.5,(Intercept),4.086134036410372
0.5,ns1,-1.7703176561637572
0.5,ns2,-2.250570864027831
0.5,ns3,-1.9747974694098487
0.5,ns4,-2.79108292451131
0.5,ns5,-2.6544056233194144
0.5,ns6,-0.15959688737999303
0.5,ns7,-0.9707930503018055
0.5,ns8,0.02595810432140497
0.5,ns9,-1.9248199542086142
0.5,ns10,-0.28413167367569275
0.8,(Intercept),4.509440239081626
0.8,ns1,-1.6025759643956363
0.8,ns2,-2.154611355583953
0.8,ns3,-2.0816341958013367
0.8,ns4,-3.001146447272928
0.8,ns5,-2.6594371383034656
0.8,ns6,-0.1618194128313763
0.8,ns7,-0.9919176195572073
0.8,ns8,-0.0910368553052412
0.8,ns9,-1.736068659282036
0.8,ns10,-0.40624117691094164
