tau,term,estimate
0.2,(Intercept),3.6527044431854754
0.2,ns1,-1.72015952419239
0.2,ns2,-2.198643292623396
0.2,ns3,-1.9129615530821937
0.2,ns4,-2.478680924335023
0.2,ns5,-2.4903985042147303
0.2,ns6,-0.4935033740780464
0.2,ns7,-0.9897008816266231
0.2,ns8,0.12280431985547194
0.2,ns9,-2.2962560748428613
0.2,ns10,-0.1877038396004195
0.5,(Intercept),4.0955934533911735
0.5,ns1,-1.7671065937507417
0.5,ns2,-2.2604640268040144
0.5,ns3,-1.9850018416741586
0.5,ns4,-2.78149067745491
0.5,ns5,-2.6521045652933695
0.5,ns6,-0.15100203282717548
0.5,ns7,-0.9556996929145755
0.5,ns8,0.03094920742258275
0.5,ns9,-1.9544944738724543
0.5,ns10,-0.2723083980435643
0.8,(Intercept),4.55826090504775
0.8,ns1,-1.7958643281942361
0.8,ns2,-2.1483391801015537
0.8,ns3,-2.1463198287101437
0.8,ns4,-2.8773467221361577
0.8,ns5,-2.660767647323833
0.8,ns6,-0.27724029464074323
0.8,ns7,-1.1600315365705638
0.8,ns8,-0.22985131936713835
0.8,ns9,-1.708545739511338
0.8,ns10,-0.6927177054806791
