tau,term,estimate
0.2,(Intercept),3.6410576305296902
0.2,ns1,-1.717225298075954
0.2,ns2,-2.193801182803067
0.2,ns3,-1.8781450086648486
0.2,ns4,-2.549161783390261
0.2,ns5,-2.4448348832798823
0.2,ns6,-0.4802295624412002
0.2,ns7,-1.0083149563046554
0.2,ns8,0.1074387098766259
0.2,ns9,-2.2698643507552982
0.2,ns10,-0.20198283998240874
0.5,(Intercept),4.0993250947738895
0.5,ns1,-1.7673476416362375
0.5,ns2,-2.2743859589357034
0.5,ns3,-1.911640154587206
0.5,ns4,-2.8631432734990097
0.5,ns5,-2.6042995817791748
0.5,ns6,-0.15393840677748521
0.5,ns7,-0.9439475167910002
0.5,ns8,0.019321488175336857
0.5,ns9,-1.9211661125174455
0.5,ns10,-0.2949371693083414
0.8,(Intercept),4.528861388347555
0.8,ns1,-1.7637784899597697
0.8,ns2,-2.1997606069625846
0.8,ns3,-2.0962235069192436
0.8,ns4,-2.939255406635863
0.8,ns5,-2.5563778064726246
0.8,ns6,-0.27129880338943574
0.8,ns7,-1.1078879534633808
0.8,ns8,-0.199543120408713
0.8,ns9,-1.6855582463548073
0.8,ns10,-0.662026561933553
