tau,term,estimate
0.2,(Intercept),1.273292348790228
0.2,ns1,-0.6143805972024007
0.2,ns2,-0.8740735095491065
0.2,ns3,-0.6572548585282763
0.2,ns4,-1.1069752364607226
0.2,ns5,-1.1089852843340968
0.2,ns6,-0.10605984216427111
0.2,ns7,-0.24441646385312074
0.2,ns8,0.1190336428924987
0.2,ns9,-0.6710838237375649
0.2,ns10,-0.04593860050030815
0.5,(Intercept),1.4358197221933624
0.5,ns1,-0.5989424130173274
0.5,ns2,-0.8401649805197604
0.5,ns3,-0.6904720880508713
0.5,ns4,-1.193646368362587
0.5,ns5,-1.089042015147092
0.5,ns6,-0.029060051535161908
0.5,ns7,-0.311836978387106
0.5,ns8,0.03280220118575665
0.5,ns9,-0.5717167074271843
0.5,ns10,-0.06507382240246684
0.8,(Intercept),1.5464888137456332
0.8,ns1,-0.5503907077721614
0.8,ns2,-0.7589875475223535
0.8,ns3,-0.695105997180918
0.8,ns4,-1.2219681881105253
0.8,ns5,-1.0729687887113666
0.8,ns6,-0.04910799608446711
0.8,ns7,-0.3927794688953847
0.8,ns8,-0.01810765272347907
0.8,ns9,-0.5254067200547594
0.8,ns10,-0.16901694141052953
