source,GA_bin,GA_mid,k,n_rows,n_participants
Carlson,"[6,11)",8,9,4,4
Carlson,"[11,16)",13,9,15,14
Carlson,"[16,21)",18,9,24,24
QUS,"[16,21)",18,9,334,334
Carlson,"[21,26)",23,9,29,29
QUS,"[21,26)",23,9,416,354
QUS,"[26,31)",28,9,78,78
Carlson,"[31,36)",33,9,29,29
QUS,"[31,36)",33,9,10,10
Carlson,"[36,41)",38,9,25,25
QUS,"[41,46)",43,9,17,17
QUS,"[46,51)",48,9,18,18
QUS,"[51,56)",53,9,18,18
QUS,"[56,61)",58,9,2,2
QUS,"[61,66)",63,9,7,7
QUS,"[66,71)",68,9,9,9
QUS,"[71,76)",73,9,2,2
QUS,"[76,81)",78,9,10,10
QUS,"[81,86)",83,9,4,4
QUS,"[86,91)",88,9,2,2
QUS,"[91,96]",93,9,11,11
