tau,term,estimate
0.2,(Intercept),1.2728278295519526
0.2,ns1,-0.6040294548490939
0.2,ns2,-0.8810602429253264
0.2,ns3,-0.6677581254523809
0.2,ns4,-1.1208096080548908
0.2,ns5,-1.0977864107154724
0.2,ns6,-0.08770375667358844
0.2,ns7,-0.24287940925861068
0.2,ns8,0.12041830911368276
0.2,ns9,-0.6789490443493531
0.2,ns10,-0.031218427395140805
0.5,(Intercept),1.4364587404821072
0.5,ns1,-0.6087387730233298
0.5,ns2,-0.828690721109924
0.5,ns3,-0.6725831406133657
0.5,ns4,-1.199787840571624
0.5,ns5,-1.08010459955136
0.5,ns6,-0.03211115199245181
0.5,ns7,-0.30631989263071324
0.5,ns8,0.04394360462488695
0.5,ns9,-0.57626875988667
0.5,ns10,-0.06652102677419952
0.8,(Intercept),1.551062785501282
0.8,ns1,-0.5473346415792374
0.8,ns2,-0.708780959975344
0.8,ns3,-0.6806635104530078
0.8,ns4,-1.2113842192756927
0.8,ns5,-1.0635064495546325
0.8,ns6,-0.05841368633476817
0.8,ns7,-0.3952116221381101
0.8,ns8,-0.029747864081295865
0.8,ns9,-0.5228264980161884
0.8,ns10,-0.19080293079113142
