tau,term,estimate
0.2,(Intercept),3.5453701216600293
0.2,ns1,-1.7569386732215342
0.2,ns2,-2.054168652794676
0.2,ns3,-2.0366657849831125
0.2,ns4,-2.373511837728822
0.2,ns5,-2.5478391950603183
0.2,ns6,-0.402703596770937
0.2,ns7,-1.0385081642397962
0.2,ns8,0.1018660178985194
0.2,ns9,-2.1126166768334143
0.2,ns10,-0.2216300801128064
0.5,(Intercept),4.036182933234074
0.5,ns1,-1.7782704343035707
0.5,ns2,-2.1532746431771934
0.5,ns3,-2.007379567130327
0.5,ns4,-2.6321864706493465
0.5,ns5,-2.7263754401223936
0.5,ns6,-0.1227083848396769
0.5,ns7,-0.9663753885339472
0.5,ns8,0.043499618262833085
0.5,ns9,-1.811264945998906
0.5,ns10,-0.2837183464346022
0.8,(Intercept),4.522489456454031
0.8,ns1,-1.6578631453754065
0.8,ns2,-2.0374703845523143
0.8,ns3,-2.145410451172523
0.8,ns4,-2.7620301072264968
0.8,ns5,-2.6351303665278647
0.8,ns6,-0.2417264655928888
0.8,ns7,-1.136286193479507
0.8,ns8,-0.21529844371660004
0.8,ns9,-1.5504327085393055
0.8,ns10,-0.6213650352664042
