tau,term,estimate
0.2,(Intercept),3.577167655567678
0.2,ns1,-1.7778925525352196
0.2,ns2,-2.1287928830672227
0.2,ns3,-1.9632054550532758
0.2,ns4,-2.481793581206971
0.2,ns5,-2.461516854411397
0.2,ns6,-0.4895243454392647
0.2,ns7,-1.0573863526216258
0.2,ns8,0.10610233410944926
0.2,ns9,-2.2362673649004914
0.2,ns10,-0.19835053040447312
0.5,(Intercept),4.084286249693645
0.5,ns1,-1.7544736706853092
0.5,ns2,-2.2585713433311
0.5,ns3,-1.9713017459439954
0.5,ns4,-2.7789682857688844
0.5,ns5,-2.6411660236780063
0.5,ns6,-0.16972298382553774
0.5,ns7,-0.9837100431562765
0.5,ns8,0.0190688152626128
0.5,ns9,-1.892060864105962
0.5,ns10,-0.28756422876894683
0.8,(Intercept),4.518050679484448
0.8,ns1,-1.6038075183947083
0.8,ns2,-2.1604240914035198
0.8,ns3,-2.1637397737114252
0.8,ns4,-2.9828584335210793
0.8,ns5,-2.6627255003960144
0.8,ns6,-0.1967115754843982
0.8,ns7,-1.0157051970157533
0.8,ns8,-0.11707044817999346
0.8,ns9,-1.6864934701807077
0.8,ns10,-0.39132913938606917
