tau,term,estimate
0.2,(Intercept),1.276430980731698
0.2,ns1,-0.5997198039509732
0.2,ns2,-0.8940361355578785
0.2,ns3,-0.6651517377499955
0.2,ns4,-1.096619734187371
0.2,ns5,-1.1217424728013035
0.2,ns6,-0.0880005359504403
0.2,ns7,-0.2513508538942634
0.2,ns8,0.11660577033130168
0.2,ns9,-0.6740933922467275
0.2,ns10,-0.02579176756939914
0.5,(Intercept),1.4352255304513557
0.5,ns1,-0.5922425097260046
0.5,ns2,-0.839230124027604
0.5,ns3,-0.7018821775388469
0.5,ns4,-1.1895276545434281
0.5,ns5,-1.0898551605772013
0.5,ns6,-0.023252443943008804
0.5,ns7,-0.3139204179884895
0.5,ns8,0.032341949469844096
0.5,ns9,-0.5746088912827862
0.5,ns10,-0.06795900293220493
0.8,(Intercept),1.5581779301464596
0.8,ns1,-0.5717630265540672
0.8,ns2,-0.7180402750063631
0.8,ns3,-0.7078682801356927
0.8,ns4,-1.2060927394597232
0.8,ns5,-1.0526583158574447
0.8,ns6,-0.05874648257812978
0.8,ns7,-0.4143704489258225
0.8,ns8,-0.03141269689564722
0.8,ns9,-0.5172365931196752
0.8,ns10,-0.2052777541699675
