tau,term,estimate
0.2,(Intercept),1.2787170795260254
0.2,ns1,-0.6043160536319143
0.2,ns2,-0.8737966080379084
0.2,ns3,-0.6472486722294843
0.2,ns4,-1.13311174109205
0.2,ns5,-1.093043003933994
0.2,ns6,-0.08903185706547534
0.2,ns7,-0.26306282959921257
0.2,ns8,0.12024967375404844
0.2,ns9,-0.6873652901508094
0.2,ns10,-0.026461830192137024
0.5,(Intercept),1.4476443331668587
0.5,ns1,-0.6046474655645504
0.5,ns2,-0.8436454654437882
0.5,ns3,-0.662136572009121
0.5,ns4,-1.219884836433081
0.5,ns5,-1.0802948365827085
0.5,ns6,-0.02080470848430935
0.5,ns7,-0.30078375726120465
0.5,ns8,0.03477505790367727
0.5,ns9,-0.5793894504851461
0.5,ns10,-0.07102997127198878
0.8,(Intercept),1.5521739532117933
0.8,ns1,-0.5434685451526124
0.8,ns2,-0.7328362906386454
0.8,ns3,-0.6705872326897329
0.8,ns4,-1.2312341087846876
0.8,ns5,-1.0511523388988373
0.8,ns6,-0.05773620973016231
0.8,ns7,-0.39391999043167236
0.8,ns8,-0.024251114021482913
0.8,ns9,-0.5385083044193509
0.8,ns10,-0.17949413762941024
