source,GA_bin,GA_mid,k,n_rows,n_participants
Carlson,"[6,11)",8,3,4,4
Carlson,"[11,16)",13,3,15,14
Carlson,"[16,21)",18,3,24,24
QUS,"[16,21)",18,3,334,334
Carlson,"[21,26)",23,3,29,29
QUS,"[21,26)",23,3,416,354
QUS,"[26,31)",28,3,78,78
Carlson,"[31,36)",33,3,29,29
QUS,"[31,36)",33,3,10,10
Carlson,"[36,41)",38,3,25,25
QUS,"[41,46)",43,3,17,17
QUS,"[46,51)",48,3,18,18
QUS,"[51,56)",53,3,18,18
QUS,"[56,61)",58,3,2,2
QUS,"[61,66)",63,3,7,7
QUS,"[66,71)",68,3,9,9
QUS,"[71,76)",73,3,2,2
QUS,"[76,81)",78,3,10,10
QUS,"[81,86)",83,3,4,4
QUS,"[86,91)",88,3,2,2
QUS,"[91,96]",93,3,11,11
