k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
9,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38215555555556,1.5052936111111075,1.71478611111111,1.7171515277777776,1.8790069444444475,2.09448222222222
9,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.37190888888889,1.5956883333333352,1.866,1.88888925925926,2.1330424999999975,2.50178555555556
9,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.56886,1.721668333333335,1.87447666666667,1.8820562962962966,2.038654444444445,2.20283222222222
9,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58051888888889,1.7281680555555574,1.8758172222222251,1.8758172222222251,2.0234663888888926,2.17111555555556
9,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34416555555556,1.49042666666667,1.73755444444444,1.7530560493827179,1.98950888888889,2.22581888888889
9,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
9,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
10,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.356054,1.4917319999999998,1.801316,1.772374789473684,1.9531710000000002,2.459181
10,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.376342,1.541168,1.718488,1.8138422307692308,2.011454,2.508147
10,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.450764,1.51228425,1.55169,1.68641,1.7930819999999998,2.191621
10,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.580704,1.7268940000000002,1.873084,1.873084,2.0192740000000002,2.165464
10,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.33611,1.49801,1.737924,1.75187,1.977823,2.245964
10,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
10,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
10,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
10,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.356054,1.5808309999999999,1.817267,1.8048366363636363,1.960827,2.459181
10,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.376342,1.5389119999999998,1.712565,1.7501317142857142,1.788022,2.508147
10,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.450764,1.4771455,1.503527,1.5063716666666667,1.5341755,1.564824
10,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
10,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
10,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
10,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.391795,1.49666925,1.736581,1.72773975,1.89251125,2.102905
10,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.383666,1.585498,1.8649710000000002,1.8881711666666667,2.132747,2.501073
10,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.538556,1.703862,1.869168,1.8664483333333333,2.0303945,2.191621
10,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.580704,1.7268940000000002,1.873084,1.873084,2.0192740000000002,2.165464
10,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.33611,1.49801,1.737924,1.75187,1.977823,2.245964
10,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
10,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
