k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
3,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.48927333333333,1.51464666666667,1.5632350000000002,1.7112927777777784,1.8848883333333326,2.16145666666667
3,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.67058333333333,1.7118233333333301,1.7530633333333299,1.7530633333333299,1.79430333333333,1.83554333333333
3,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.35121333333333,1.59046,1.68068666666667,1.7252244444444444,1.86604333333333,2.24531666666667
3,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
3,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
3,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
3,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.36637,1.664276666666665,1.86400666666667,1.8260054545454536,1.915211666666665,2.50012333333333
3,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.3866,1.445995,1.72854,1.7336495238095242,1.783003333333335,2.56241
3,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.48927333333333,1.5227499999999998,1.55622666666667,1.53858111111111,1.5632350000000002,1.57024333333333
3,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
3,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
3,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
3,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.41056,1.437526666666665,1.642695,1.6715670833333325,1.7842383333333325,2.17149333333333
3,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.39887,1.6850874999999974,2.022785,1.983115555555555,2.3551200000000025,2.41583333333333
3,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.50078666666667,1.745278333333335,1.98977,1.8840044444444468,2.075613333333335,2.16145666666667
3,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.67058333333333,1.7118233333333301,1.7530633333333299,1.7530633333333299,1.79430333333333,1.83554333333333
3,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.35121333333333,1.59046,1.68068666666667,1.7252244444444444,1.86604333333333,2.24531666666667
3,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
3,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
4,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.3777575,1.5098387500000001,1.7476275,1.7605719736842105,1.9049200000000002,2.400505
4,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.363495,1.57074,1.6990575,1.8372225,2.245565,2.5277525
4,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.5168775,1.5218075,1.53786625,1.7050908333333332,1.846546875,2.17204
4,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.60715,1.706906875,1.8066637500000002,1.8066637500000002,1.9064206250000002,2.0061775
4,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.38022,1.5228725,1.760355,1.7244502777777777,1.8206675,2.2281475
4,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
4,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
4,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
