k,Outcome_group,n_obs,n_unique_time,change_point_weeks,nearest_observed_to_change_weeks,change_point_in_delivery_gap,rss_linear,rss_piecewise,delta_aic_vs_linear,slope_before_change,slope_after_change,model_min_time_within_close_window,model_min_sws_within_close_window
1,All,1026,160,-8.892857142857125,0.03571428571423141,FALSE,587.6318812425419,511.91715723493286,139.52427500134843,-0.057623492897247094,0.08064841417613912,-8.9,1.8296998122875852
1,FTB,892,133,-11.035714285714278,0.035714285714199434,FALSE,501.2627443573205,440.81381694222773,112.62895844885088,-0.06500303068439911,0.06763391789296058,-10,1.9638460235704338
1,sPTB,134,77,-1.9642857142857508,0.03571428571423496,FALSE,82.31324317767394,64.53033718809075,30.61513783008121,-0.035535737892029455,0.15181130092508993,-2,1.8216261890671785
2,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,548.4774043485523,471.9538664210564,152.4722589513235,-0.05777336686725433,0.08115109639436409,-8.9,1.8238823342612105
2,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,468.9038878740058,409.4272007213086,119.26100322331808,-0.06488223060163824,0.06614455332387133,-10,1.9920107105382614
2,sPTB,134,77,-2.964285714285751,0.035714285714252725,FALSE,74.728352532493,57.475147745411824,33.175928734247776,-0.040618706665917784,0.14358050132402356,-3,1.778632056439922
3,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,533.9248937975711,457.70236891671135,156.34906701286423,-0.05744591870111512,0.08120503864285988,-8.9,1.8216015738196403
3,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,453.3406603813831,394.8577044189041,121.47784469768953,-0.06385737385021703,0.06607020747428088,-10,1.9926590379920088
3,sPTB,134,77,-2.964285714285751,0.035714285714252725,FALSE,75.9606129030837,57.89737140473038,34.386757980824214,-0.043011706840458366,0.1454619747657711,-3,1.7535121021191502
4,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,523.1201291834586,446.0647442402666,161.80873888184033,-0.057796342684459594,0.081610054812396,-8.9,1.8144045989787871
4,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,443.2312864140443,383.3157652708083,127.83796506961437,-0.06489777635738725,0.06661149354825802,-10,1.9818384181623243
4,sPTB,134,77,-2.964285714285751,0.035714285714252725,FALSE,75.59729589743151,57.561445470471,34.52404766349093,-0.043090657299807975,0.14524006949250956,-3,1.7566468940098048
5,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,523.0152090291064,445.44561455424,163.03037255637946,-0.05808023344155297,0.08179053720970955,-8.9,1.8108519391555342
5,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,443.04986108987833,383.096480750501,127.98353367664095,-0.0649083451761368,0.06664246696176482,-10,1.981432017207642
5,sPTB,134,77,-2.964285714285751,0.035714285714252725,FALSE,75.30712272106013,57.312305522159285,34.58995489110296,-0.042577971148549415,0.14553839874176103,-3,1.7522465011207207
6,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,519.5625501519929,442.07679162725776,164.02570503348818,-0.05788699682212492,0.08190816837369533,-8.9,1.809055665396522
6,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,439.9423620657671,379.94605876673836,129.07330131038339,-0.0648035782149037,0.06679431667200117,-10,1.9787862227283664
6,sPTB,134,77,-3.214285714285751,0.21428571428574728,FALSE,74.98927217579208,57.041714804419456,34.657338391750386,-0.04439300552453321,0.14359845485786138,-3.25,1.7410168505005679
7,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,519.2800050555276,442.0829656415038,163.45215588021654,-0.05763535674009006,0.08189912052764574,-8.9,1.809523322347765
7,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,439.12802707397753,379.2260443965262,129.1127468126424,-0.06468548598084013,0.06680892521787286,-10,1.9781072776294373
7,sPTB,134,77,-3.214285714285751,0.21428571428574728,FALSE,75.42564722599865,57.91981967127306,33.38775600760583,-0.042961794009885826,0.14270180701168883,-3.25,1.7525116490098858
8,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,520.6472701505754,442.8942956701017,164.2704228388144,-0.05792449244897899,0.08211151279879544,-8.9,1.8056621179636245
8,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,440.4493420345796,380.01202047664634,129.94774207189732,-0.0650771751680252,0.06700350621891991,-10,1.9742850047166984
8,sPTB,134,77,-3.214285714285751,0.21428571428574728,FALSE,75.54203841032195,57.874845867423986,33.69846459895673,-0.04342233791312654,0.14309500397714503,-3.25,1.7479738501284332
9,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,521.7546339570523,443.9544959685765,163.99666685310262,-0.057906670864269046,0.08217179956279028,-8.9,1.8053723750168866
9,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,441.47420659954537,381.31942537597354,128.95507379133676,-0.0648356238975661,0.06693596175119272,-10,1.9754616439038366
9,sPTB,134,77,-3.464285714285751,0.4642857142857473,FALSE,75.49469742938682,57.90330868854504,33.548577694035316,-0.04502880619479008,0.14115293245313337,-3.5,1.7385681248056857
10,All,1028,160,-8.89285714285716,0.035714285714266936,FALSE,519.184160606139,441.4467261334016,164.74294715654958,-0.05781390207252007,0.08220810840936738,-8.9,1.8044294750594434
10,FTB,894,133,-11.285714285714281,2.842170943040401e-14,FALSE,438.73109507994025,378.53750950009464,129.92893651173324,-0.06479892803766871,0.0670151520487769,-10,1.9737949655096008
10,sPTB,134,77,-3.464285714285751,0.4642857142857473,FALSE,75.79224483325942,58.06924117357922,33.69222186334936,-0.04547844167749647,0.14139848458473253,-3.5,1.7353493110941303
