Visit_ID,N,Median_GA_weeks,GA_IQR_weeks,Min_GA_weeks,Max_GA_weeks
1,496,20.142857142857125,"20.1 [19.3, 21.0]",17.714285714285705,22.714285714285698
2,425,24.714285714285687,"24.7 [23.6, 25.7]",20.999999999999982,34.00000000000001
3,43,45.85714285714272,"45.9 [44.5, 46.6]",26.999999999999982,48.71428571428568
4,25,52.71428571428568,"52.7 [51.7, 54.0]",38.57142857142855,56.142857142857274
5,21,65.99999999999986,"66.0 [65.0, 67.3]",53.99999999999989,74.14285714285722
6,17,78.85714285714299,"78.9 [78.3, 80.9]",74.99999999999982,83.42857142857137
7,16,92.21428571428571,"92.2 [91.2, 93.0]",72.99999999999997,95.85714285714285
